fixture_id,date,player_appearance_id,checkpoint,position,minute_in,minute_out,last15_distance,cumul_distance,last15_peak_speed,cumul_peak_speed,flag_last15_peak_speed_gt_10_3,flag_cumul_peak_speed_gt_10_3,flag_last15_distance_gt_6000,flag_cumul_distance_gt_6000,flag_reason
1159,2025-06-11,39437,H1_15,G,1,90,8.4,8.4,12.02,12.02,True,True,False,False,last15_peak_speed_gt_10_3; cumul_peak_speed_gt_10_3
1159,2025-06-11,39437,H1_30,G,1,90,11.41,19.81,6.79,12.02,False,True,False,False,cumul_peak_speed_gt_10_3
1159,2025-06-11,39437,H1_45,G,1,90,0.0,19.81,0.0,12.02,False,True,False,False,cumul_peak_speed_gt_10_3
1159,2025-06-11,39437,H2_15,G,1,90,0.0,19.81,0.0,12.02,False,True,False,False,cumul_peak_speed_gt_10_3
1159,2025-06-11,39437,H2_30,G,1,90,0.0,19.81,0.0,12.02,False,True,False,False,cumul_peak_speed_gt_10_3
1161,2025-06-11,65576,H2_15,D,1,90,816.49,6434.32,7.21,9.1,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65576,H2_30,D,1,90,1165.56,7599.88,7.32,9.1,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65577,H1_45,D,1,90,2338.13,7470.86,8.13,8.44,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65577,H2_15,D,1,90,2073.61,9544.47,8.31,8.44,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65577,H2_30,D,1,90,261.81,9806.28,6.11,8.44,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65580,H1_30,M,1,90,2675.04,6243.31,7.11,8.14,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65580,H1_45,M,1,90,2906.51,9149.82,7.08,8.14,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65580,H2_15,M,1,90,702.2,9852.02,6.75,8.14,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65580,H2_30,M,1,90,193.1,10045.12,5.89,8.14,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65581,H1_30,A,1,64,3521.11,7282.52,6.97,7.73,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65581,H1_45,A,1,64,1852.37,9134.89,7.05,7.73,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65581,H2_15,A,1,64,3208.74,12343.64,8.89,8.89,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65582,H1_30,M,1,64,2553.56,6603.83,7.32,7.84,False,False,False,True,cumul_distance_gt_6000
1161,2025-06-11,65582,H1_45,M,1,64,2690.68,9294.5,7.16,7.84,False,False,False,True,cumul_distance_gt_6000
