"fixture_id","date","id","player_appearance_id","period","minute","stage","possession","run_type","min_speed","max_speed","distance","flag_distance_gt_1000","flag_max_speed_gt_10_3","flag_reason"
1159,"2025-06-11",673692,39437,"half_1",10,"middle",2285,"hsr",6.38,12.02,8.4,FALSE,TRUE,"max_speed_gt_10_3"
1161,"2025-06-11",1324166,65588,"half_1",1,"middle",3753,"sprint",6.93,10.25,1151.9852,TRUE,FALSE,"distance_gt_1000"
1161,"2025-06-11",1324849,65590,"half_2",45,"middle",3752,"hsr",5.41,6.91,1000.1456,TRUE,FALSE,"distance_gt_1000"
1161,"2025-06-11",1324852,65590,"half_2",52,"middle",3753,"sprint",6.9,9.94,1053.4428,TRUE,FALSE,"distance_gt_1000"
1161,"2025-06-11",1324423,65596,"half_2",33,"middle",3752,"sprint",6.95,9.39,1608.3136,TRUE,FALSE,"distance_gt_1000"
1161,"2025-06-11",1324602,65601,"half_1",35,"middle",3753,"sprint",6.98,9.6,1087.9936,TRUE,FALSE,"distance_gt_1000"
1161,"2025-06-11",1324646,65602,"half_1",40,"middle",3753,"sprint",6.92,8.35,1137.734,TRUE,FALSE,"distance_gt_1000"
1164,"2025-06-12",678483,39653,"half_2",2,"bottom",2295,"hsr",4.08,11.68,26.1028948453608,FALSE,TRUE,"max_speed_gt_10_3"
1164,"2025-06-12",679476,39664,"half_1",15,"middle",2295,"hsr",5.58,13.75,8.61066666666667,FALSE,TRUE,"max_speed_gt_10_3"
1164,"2025-06-12",679667,39672,"half_2",49,"top",2295,"sprint",7.01,10.55,62.7748251428571,FALSE,TRUE,"max_speed_gt_10_3"
1165,"2025-06-12",679742,39696,"half_2",10,"bottom",2296,"sprint",5.56,10.32,12.6813405405405,FALSE,TRUE,"max_speed_gt_10_3"
1165,"2025-06-12",680568,39716,"half_1",19,"bottom",2296,"hsr",4.09,10.41,11.5749948717949,FALSE,TRUE,"max_speed_gt_10_3"
1165,"2025-06-12",680569,39716,"half_1",19,"bottom",2296,"sprint",7.17,10.41,7.37825454545454,FALSE,TRUE,"max_speed_gt_10_3"
1165,"2025-06-12",680593,39716,"half_2",39,"bottom",2296,"sprint",6.97,12.26,31.9603404255319,FALSE,TRUE,"max_speed_gt_10_3"
1165,"2025-06-12",680427,39720,"half_1",13,"bottom",2297,"sprint",5.62,13.58,15.3500512820513,FALSE,TRUE,"max_speed_gt_10_3"
1166,"2025-06-12",681340,39746,"half_1",25,"middle",2298,"sprint",5.55,10.35,28.8265170731707,FALSE,TRUE,"max_speed_gt_10_3"
1166,"2025-06-12",680902,39752,"half_2",28,"bottom",2298,"hsr",2.65,10.7,6.38863333333333,FALSE,TRUE,"max_speed_gt_10_3"
1167,"2025-06-14",1322486,65530,"half_1",30,"top",3750,"sprint",6.93,9.33,1352.074,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322505,65530,"half_2",18,"middle",3750,"sprint",6.96,9.44,1673.4556,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323371,65531,"half_2",34,"top",3751,"hsr",5.46,6.64,1080.0764,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322559,65532,"half_2",41,"bottom",3751,"sprint",6.9,9.23,1055.1804,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322637,65535,"half_1",16,"top",3750,"sprint",6.94,8.22,1002.9248,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322645,65535,"half_1",22,"top",3751,"hsr",5.5,6.88,1053.3772,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322649,65535,"half_1",30,"middle",3750,"sprint",6.89,8.99,1399.7092,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322756,65537,"half_1",22,"bottom",3751,"sprint",6.97,9.35,1071.1524,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322763,65537,"half_1",40,"top",3750,"sprint",6.87,9.03,1244.0984,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322790,65537,"half_2",26,"middle",3750,"sprint",6.95,9.07,1036.21,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323411,65538,"half_2",26,"top",3750,"hsr",5.43,6.78,1019.686,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323624,65540,"half_2",18,"middle",3750,"sprint",6.89,8.82,1086.652,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323637,65540,"half_2",26,"middle",3750,"hsr",5.41,6.97,1086.7348,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323452,65541,"half_2",27,"middle",3751,"hsr",5.47,6.85,1213.2004,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323456,65541,"half_2",31,"top",3750,"sprint",6.86,7.84,1112.4268,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323695,65542,"half_2",39,"top",3750,"sprint",6.95,9.36,1135.6884,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323488,65544,"half_2",26,"middle",3750,"sprint",6.89,7.62,1039.9096,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322929,65547,"half_1",30,"middle",3750,"hsr",5.44,6.87,1060.506,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323606,65548,"half_2",18,"middle",3750,"sprint",6.95,9.44,1561.642,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1322985,65549,"half_1",30,"middle",3750,"hsr",5.4,5.97,1058.6748,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323163,65553,"half_2",18,"bottom",3750,"sprint",6.91,9.04,1555.5584,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323575,65554,"half_2",18,"bottom",3750,"sprint",6.92,8.46,1118.1436,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323579,65554,"half_2",25,"top",3751,"sprint",6.94,8.72,1026.9256,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323584,65554,"half_2",27,"middle",3751,"sprint",6.93,7.71,1034.8856,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323224,65556,"half_1",30,"middle",3750,"sprint",6.95,8.84,1229.7636,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323306,65558,"half_1",3,"middle",3751,"hsr",5.48,7,1018.1988,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323319,65558,"half_1",21,"middle",3751,"hsr",5.45,7.01,1186.9064,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323317,65558,"half_1",22,"middle",3751,"sprint",6.94,8.55,1183.838,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323343,65558,"half_1",43,"bottom",3750,"hsr",5.5,6.91,1055.4316,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323654,65560,"half_2",26,"middle",3750,"sprint",6.99,9.66,1694.008,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323670,65560,"half_2",37,"middle",3751,"sprint",6.92,9.84,1094.4772,TRUE,FALSE,"distance_gt_1000"
1167,"2025-06-14",1323673,65560,"half_2",41,"middle",3751,"sprint",6.97,9.34,1449.0492,TRUE,FALSE,"distance_gt_1000"
1170,"2025-06-14",685971,39944,"half_1",30,"top",2307,"sprint",7.01,11.12,37.8054303030303,FALSE,TRUE,"max_speed_gt_10_3"
1189,"2025-06-15",703443,40766,"half_2",18,"top",2344,"hsr",1.29,11.78,8.0028,FALSE,TRUE,"max_speed_gt_10_3"
1189,"2025-06-15",704054,40775,"half_2",32,"middle",2345,"hsr",0.66,11.21,18.3450181818182,FALSE,TRUE,"max_speed_gt_10_3"
1189,"2025-06-15",703587,40784,"half_1",29,"middle",2345,"sprint",7.23,10.33,24.0784666666667,FALSE,TRUE,"max_speed_gt_10_3"
1189,"2025-06-15",703621,40784,"half_2",25,"middle",2344,"sprint",5.61,10.35,18.3036075471698,FALSE,TRUE,"max_speed_gt_10_3"
1190,"2025-06-15",704282,40815,"half_2",8,"top",2346,"hsr",5.65,11.48,10.9798054054054,FALSE,TRUE,"max_speed_gt_10_3"
1190,"2025-06-15",704283,40815,"half_2",8,"top",2346,"sprint",6.37,11.48,18.9273442622951,FALSE,TRUE,"max_speed_gt_10_3"
1190,"2025-06-15",704533,40817,"half_1",5,"top",2346,"sprint",5.6,11.8,7.09118,FALSE,TRUE,"max_speed_gt_10_3"
1190,"2025-06-15",704534,40817,"half_1",5,"top",2346,"sprint",5.6,10.52,17.355925,FALSE,TRUE,"max_speed_gt_10_3"
1190,"2025-06-15",704601,40818,"half_2",1,"middle",2347,"sprint",5.57,10.34,21.3715649122807,FALSE,TRUE,"max_speed_gt_10_3"
1200,"2025-06-17",713067,41246,"half_1",33,"bottom",2367,"hsr",4.4,11.38,14.7131076923077,FALSE,TRUE,"max_speed_gt_10_3"
1200,"2025-06-17",713068,41246,"half_1",33,"bottom",2367,"sprint",4.4,11.38,12.4882604651163,FALSE,TRUE,"max_speed_gt_10_3"
1200,"2025-06-17",713588,41249,"half_1",27,"middle",2367,"hsr",5.74,12.74,8.65390909090909,FALSE,TRUE,"max_speed_gt_10_3"
1200,"2025-06-17",713628,41257,"half_2",30,"top",2367,"hsr",5.85,14.14,8.92457142857143,FALSE,TRUE,"max_speed_gt_10_3"
1201,"2025-06-17",1326225,65761,"half_1",29,"top",3760,"hsr",5.43,6.91,1057.3288,TRUE,FALSE,"distance_gt_1000"
1201,"2025-06-17",1326266,65761,"half_2",36,"middle",3760,"sprint",6.8,10.65,446.2632,FALSE,TRUE,"max_speed_gt_10_3"
1201,"2025-06-17",1326283,65765,"half_1",21,"bottom",3761,"sprint",6.94,9.84,1020.8148,TRUE,FALSE,"distance_gt_1000"
1201,"2025-06-17",1326284,65765,"half_1",22,"middle",3760,"sprint",7.03,9.6,1032.4728,TRUE,FALSE,"distance_gt_1000"
1201,"2025-06-17",1326288,65765,"half_1",24,"middle",3760,"hsr",5.46,6.85,1174.4108,TRUE,FALSE,"distance_gt_1000"
1201,"2025-06-17",1326361,65767,"half_1",44,"top",3760,"sprint",6.99,9.74,1289.5224,TRUE,FALSE,"distance_gt_1000"
